,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
21,28.32,23.854,30.365,37.811,42.986,50.901,55.224,61.564,63.573,45.956,41.351,27.175,19.133,15.105,10.228,12.279,14.887,3.929,8.687,11.956,0.0,5.349,22.059,10.144,22.808,17.834,21.796,26.196,40.445,18.053,14.34,8.385,19.525,23.471,18.992,38.205,25.671,28.154,22.896,41.556,31.336,33.08,34.913,27.233,28.756,34.017,51.069,45.062,56.312,58.071,64.988,75.411,72.711,69.05,75.602,72.045,64.055,74.495,65.86,65.751,63.633,73.227,71.979,73.176,77.969,84.546,90.33,92.609,94.26,89.954,61.771,67.729,69.431,68.75,73.687
22,25.557,17.197,26.056,43.229,48.404,56.319,60.642,66.982,68.991,51.374,46.769,32.593,28.482,23.887,19.01,21.061,23.669,4.474,13.915,9.06,5.349,0.0,24.199,7.381,16.128,12.009,15.971,19.539,26.212,15.29,8.474,3.999,13.335,17.646,16.229,40.345,19.846,23.845,28.314,46.974,36.754,38.498,40.331,32.651,22.931,29.295,56.487,50.48,61.73,63.489,70.369,80.829,78.129,74.468,81.02,77.463,69.473,79.913,71.278,71.169,69.051,78.645,77.397,78.594,83.387,89.964,95.748,98.027,99.678,95.372,67.152,73.147,74.849,74.168,79.105
23,24.313,28.476,45.458,52.904,58.079,65.994,70.317,76.657,78.666,61.049,56.444,42.268,38.157,33.562,28.685,30.736,33.344,23.368,23.59,20.681,19.81,22.644,0.0,25.304,37.901,32.959,36.921,30.818,21.452,22.717,29.465,21.934,34.65,38.596,22.625,19.212,40.796,43.247,37.989,56.649,46.429,48.173,50.006,42.326,43.881,40.574,66.162,60.155,71.405,73.164,80.044,90.504,87.804,84.143,90.695,87.138,79.148,89.588,80.953,80.844,78.726,88.32,87.072,88.269,93.062,99.639,105.423,107.702,109.353,105.047,76.827,82.822,84.524,83.843,88.78
24,19.473,11.113,21.575,46.809,51.984,59.899,64.222,70.562,72.571,54.954,50.349,36.173,32.062,27.467,22.59,24.641,27.249,12.207,17.495,8.221,10.827,7.912,27.779,0.0,13.025,8.906,11.852,13.455,20.128,9.206,7.94,7.615,9.789,14.543,10.145,21.705,16.15,19.364,31.894,50.554,40.334,42.078,43.911,22.292,17.992,23.211,31.532,54.06,65.31,67.069,73.949,84.409,81.709,78.048,84.6,81.043,73.053,83.493,74.858,74.749,72.631,82.225,80.977,82.174,86.967,93.544,99.328,101.607,103.258,98.952,70.732,76.727,78.429,77.748,82.685
25,20.285,9.765,10.071,36.471,25.057,39.622,43.945,50.285,52.294,36.063,24.649,17.282,18.663,19.177,23.312,25.363,20.594,14.22,18.217,21.482,22.081,15.452,39.114,13.076,0.0,6.72,5.979,11.0,21.339,13.634,9.953,17.636,10.208,5.428,14.095,22.486,9.11,7.86,10.357,24.854,15.206,22.579,13.163,9.315,12.639,19.269,18.555,23.788,54.972,56.731,63.611,63.156,71.371,67.71,74.262,70.705,62.715,73.155,64.52,64.411,51.378,71.887,70.639,71.836,76.629,83.206,88.99,91.269,92.92,88.614,60.394,66.389,68.091,67.41,72.347
26,18.436,9.824,15.134,43.102,48.277,56.192,60.515,66.855,68.864,51.247,46.642,32.466,28.355,23.728,18.851,20.902,23.51,10.135,13.756,17.397,12.842,11.367,34.684,8.991,6.753,0.0,4.715,12.166,19.49,8.876,5.868,13.551,5.463,7.5,9.337,22.222,9.435,12.923,16.237,46.847,36.627,38.371,20.16,16.312,12.52,17.428,21.417,50.353,61.603,63.362,70.242,80.702,78.002,74.341,80.893,77.336,69.346,79.786,71.151,71.042,68.924,78.518,77.27,78.467,83.26,89.837,95.621,97.9,99.551,95.245,67.025,73.02,74.722,74.041,78.978
27,14.659,7.176,13.06,29.167,30.847,41.598,45.921,52.261,67.735,41.853,30.439,23.072,24.165,28.34,23.463,25.514,28.122,14.747,18.368,20.285,17.454,15.979,39.296,12.217,5.838,4.936,0.0,7.455,15.713,8.068,10.833,17.311,7.173,6.001,8.366,16.626,6.521,10.849,16.147,30.644,20.322,28.369,18.279,13.131,9.606,14.514,19.358,26.777,47.046,41.679,48.559,79.573,76.873,59.784,79.764,76.207,47.663,78.657,70.022,69.913,67.795,77.389,76.141,77.338,82.131,88.708,94.492,96.771,98.422,94.116,65.896,71.891,73.593,72.912,77.849
28,9.949,3.117,17.139,51.374,36.031,64.464,68.787,75.127,77.136,59.519,54.914,40.738,36.627,32.0,27.123,29.174,31.782,18.407,22.028,21.738,21.114,19.061,38.928,13.67,11.022,11.952,7.283,0.0,11.003,9.521,14.14,18.764,10.825,11.001,9.819,14.798,4.522,13.169,21.331,55.119,24.502,46.643,22.459,17.21,6.024,11.243,18.327,26.1,39.683,41.442,48.322,88.974,86.274,82.613,53.657,55.416,47.426,57.866,49.231,49.122,47.004,49.886,45.186,46.383,51.176,57.753,63.537,66.309,80.783,103.517,45.105,51.1,59.914,60.558,87.25
29,4.441,17.268,31.025,59.787,64.962,72.877,77.2,83.54,85.549,67.932,63.327,49.151,45.04,40.413,35.536,37.587,40.195,26.82,30.441,23.536,27.959,25.044,21.16,19.653,25.144,20.365,18.007,11.532,0.0,11.509,22.553,24.747,19.238,23.966,11.417,4.357,22.305,28.814,35.604,63.532,53.312,55.056,36.244,34.411,16.672,14.268,22.747,67.038,42.708,44.467,53.61,97.387,94.687,91.026,97.578,60.704,52.426,63.154,61.653,54.122,52.004,50.747,46.047,47.244,52.037,58.614,64.398,67.17,81.644,67.349,50.105,56.388,60.775,61.419,95.663
30,11.642,6.444,20.201,54.043,53.393,61.308,65.631,71.971,73.98,56.363,51.758,37.582,33.471,28.844,23.967,26.018,28.626,15.251,18.872,17.823,18.061,15.146,35.013,9.755,13.575,8.796,7.183,8.786,13.109,0.0,10.984,14.849,7.669,13.142,0.82,14.686,11.481,17.99,24.035,51.963,41.743,43.487,26.69,22.842,13.323,18.542,25.947,55.469,66.719,68.478,75.358,85.818,83.118,79.457,86.009,82.452,74.462,84.902,76.267,76.158,74.04,83.634,82.386,83.583,88.376,94.953,100.737,103.016,104.667,100.361,72.141,78.136,79.838,79.157,84.094
