,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
26,5.072,4.752,4.747,5.405,4.122,4.656,4.526,3.007,1.82,3.515,3.222,1.445,1.38,1.303,1.936,1.934,1.663,1.965,2.004,3.389,2.261,0.876,0.675,0.724,1.203,0.0,1.097,2.736,2.379,0.696,2.048,1.781,3.418,3.723,3.443,2.426,2.296,1.863,2.776,2.982,2.565,3.704,3.705,3.879,3.537,3.649,5.657,5.344,4.598,5.856
27,5.747,5.427,5.422,6.08,4.797,3.86,3.868,3.117,2.495,2.946,3.897,2.12,1.231,1.344,2.611,2.381,2.338,2.64,2.246,3.592,1.683,1.286,0.546,1.16,0.47,1.103,0.0,1.201,0.844,0.905,1.064,2.456,2.52,2.188,1.908,1.528,0.761,0.836,1.897,1.447,1.03,2.169,2.17,2.344,2.639,2.889,4.663,4.635,4.058,4.488
28,7.078,7.017,7.012,7.267,5.909,5.807,5.815,3.561,3.677,5.007,5.009,3.633,3.059,2.44,4.124,3.894,3.851,3.489,3.084,3.758,2.521,3.064,1.688,2.912,1.546,2.88,1.203,0.0,0.836,2.067,0.885,1.806,1.701,1.603,0.713,1.52,0.572,0.905,2.063,0.731,0.22,1.609,1.61,1.799,1.82,2.108,4.336,3.854,3.277,4.006
29,6.928,6.867,6.862,7.117,5.953,4.902,4.91,3.204,3.32,4.102,5.053,3.276,1.97,2.083,3.767,3.537,3.494,3.636,3.231,3.905,2.668,2.707,1.265,2.555,1.189,2.523,0.846,0.971,0.0,2.331,0.528,1.656,1.643,1.608,1.678,0.651,0.531,1.052,2.21,1.217,0.8,1.939,1.94,1.764,1.762,2.255,4.186,3.704,3.127,4.336
30,5.382,5.828,5.823,5.715,4.432,3.495,3.503,2.866,2.244,2.695,3.532,1.755,0.866,0.979,2.246,2.244,1.973,2.275,2.314,3.471,2.122,0.921,0.161,0.795,0.689,0.738,0.583,1.671,1.314,0.0,2.358,2.091,3.728,2.658,2.378,2.736,1.231,1.349,2.262,1.917,1.5,2.639,2.64,2.814,3.847,3.305,5.967,5.654,4.908,5.036
31,6.123,6.062,6.057,6.312,5.487,4.436,4.444,2.738,2.854,3.636,4.587,2.81,2.166,2.903,3.301,3.071,3.028,3.33,3.384,4.058,2.821,2.241,1.461,2.089,1.144,2.057,0.801,0.926,0.569,1.865,0.0,0.906,1.74,1.913,1.633,0.748,0.486,1.205,2.363,1.172,0.755,1.894,1.895,2.069,1.859,2.359,4.283,3.801,3.224,4.291
32,5.657,5.596,5.591,5.846,4.896,4.386,4.394,3.255,3.371,3.586,5.104,3.327,2.684,3.42,3.818,3.588,3.545,3.847,4.416,5.09,3.853,2.758,1.979,2.606,2.967,2.574,2.587,1.806,1.656,2.382,1.753,0.0,1.532,2.263,2.513,1.276,1.904,2.237,3.395,2.906,1.714,3.415,3.416,2.437,1.651,1.939,3.758,3.891,2.699,3.957
33,6.383,6.322,6.317,6.572,5.622,5.112,5.12,3.667,3.783,4.312,5.516,3.739,3.444,3.832,4.23,4.0,3.957,4.259,4.403,5.077,3.84,3.611,2.739,3.459,2.954,3.427,2.574,1.701,1.551,3.235,1.648,1.361,0.0,1.014,1.744,1.007,1.799,2.132,3.382,2.764,1.53,2.061,2.062,1.188,0.044,1.031,3.003,2.521,1.944,3.202
34,7.397,7.336,7.331,7.586,6.636,6.126,6.134,4.548,4.664,5.326,5.996,4.62,3.38,3.493,5.111,4.881,4.838,4.476,4.071,4.745,3.508,4.051,2.675,3.309,2.622,3.252,2.242,1.603,1.608,3.054,2.043,2.375,1.053,0.0,1.307,1.788,1.559,2.594,2.421,1.672,1.774,1.4,1.401,0.507,0.934,1.764,3.35,2.868,2.291,3.062
35,7.785,7.724,7.719,7.974,6.616,6.514,6.522,4.268,4.384,5.714,5.716,4.34,3.1,3.213,4.831,4.601,4.558,4.196,3.791,4.465,3.228,3.771,2.395,3.619,2.253,2.972,1.962,0.782,1.543,2.774,1.592,2.513,1.744,1.268,0.0,2.318,2.232,1.612,2.295,1.546,0.953,1.274,1.275,0.808,1.625,2.815,3.846,3.51,2.933,3.671
36,6.469,6.408,6.403,6.658,5.865,5.198,5.206,3.116,3.232,4.398,4.965,3.188,2.452,3.281,3.679,3.449,3.406,3.816,3.411,4.085,2.848,2.619,1.747,2.467,1.83,2.435,1.582,1.52,0.651,2.243,0.748,1.197,1.092,1.788,2.227,0.0,1.215,1.232,2.39,1.901,1.349,2.41,2.411,1.944,1.211,1.499,3.727,3.245,2.668,3.926
37,7.225,7.164,7.159,7.414,5.909,4.858,4.866,3.16,3.276,4.058,5.009,3.232,2.873,2.149,3.723,3.493,3.45,3.303,2.898,3.572,2.335,2.663,1.331,2.511,1.255,2.479,0.875,0.621,0.264,1.71,0.484,1.953,1.848,1.608,1.328,0.948,0.0,0.989,1.877,0.686,0.45,1.408,1.409,1.764,1.967,2.255,3.98,4.001,3.424,3.805
38,5.976,5.656,5.651,6.309,5.026,5.56,5.43,3.992,3.261,4.419,4.126,3.214,2.176,2.11,3.515,3.419,3.42,2.606,2.201,2.875,1.638,3.449,1.292,1.926,1.216,1.869,0.836,1.175,1.052,1.671,1.316,2.237,2.224,1.892,1.612,1.232,1.041,0.0,1.164,1.289,1.004,1.741,1.742,2.048,2.343,2.539,4.313,4.285,3.708,4.138
39,6.974,6.654,6.649,7.307,6.024,6.558,6.428,4.81,4.926,5.417,5.124,4.212,3.174,3.003,4.513,4.417,4.418,3.604,3.199,3.616,2.636,4.447,2.492,2.819,2.379,2.762,2.036,2.735,2.25,2.564,2.514,3.435,3.422,2.421,2.295,2.43,2.549,1.144,0.0,2.133,2.564,1.44,1.251,2.577,3.541,3.737,5.473,6.027,4.906,5.298
